dimension,prueba,normal_shapiro,p_shapiro_human,p_shapiro_llm,estadistico,valor_p,cliffs_delta,ic95_lo,ic95_hi
completitud,U de Mann-Whitney,False,0.0639,0.0262,631.0,0.2584,0.1589,-0.1203,0.4224
ausencia_ambiguedad,U de Mann-Whitney,False,0.0084,0.0166,441.0,0.1766,-0.1901,-0.4463,0.0817
verificabilidad,U de Mann-Whitney,False,0.0099,0.0029,559.5,0.847,0.0275,-0.2452,0.2948
correccion_fuente,U de Mann-Whitney,False,0.0011,0.0321,558.5,0.8581,0.0257,-0.247,0.2966
consistencia_interna,U de Mann-Whitney,False,0.012,0.0011,681.0,0.0668,0.2507,-0.0092,0.4931
puntaje_global,t de Student (muestras independientes),True,0.1023,0.5505,0.9204,0.3608,0.1396,-0.1359,0.4141
